Country Name,Country Code,Urban Code,Urban Area Name,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Currency Unit,Region,Income Group
Afghanistan,AFG,,,Starting a business - Score,IC.REG.STRT.BUS.DFRN,83.2,84.2,80.3,83.4,87.3,87.8,87.9,88.3,91.6,91.0,90.5,90.4,82.6,92.0,92.0,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Time - Women (days),IC.REG.DURS.FE.DY,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Time - Men (days) - Score,IC.REG.DURS.MA.DY.DFRN,91.45729,91.45729,90.45226,90.45226,91.45729,91.45729,91.45729,91.45729,94.47236,92.46231,92.46231,92.46231,92.46231,92.46231,92.46231,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Procedures required - Women (number) - Score,IC.REG.PROC.FE.NO.DFRN,76.47059,76.47059,70.58824,70.58824,70.58824,70.58824,70.58824,70.58824,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Procedures required - Men (number) - Score,IC.REG.PROC.MA.NO.DFRN,82.35294,82.35294,76.47059,76.47059,76.47059,76.47059,76.47059,76.47059,82.35294,82.35294,82.35294,82.35294,82.35294,82.35294,82.35294,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Time - Women (days)- Score,IC.REG.DURS.FE.DY.DRFN,90.45226,90.45226,89.44724,89.44724,90.45226,90.45226,90.45226,90.45226,93.46734,91.45729,91.45729,91.45729,91.45729,91.45729,91.45729,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Paid-in Minimum capital (% of income per capita) - Score,IC.REG.DFRN.PC.DFRN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Afghan afghani,South Asia,Low income
Afghanistan,AFG,,,Starting a business: Minimum capital (% of income per capita),IC.REG.MIN.CAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghan afghani,South Asia,Low income
