Country Name,Country Code,Region,Income Group,Year,Starting a business - Score,Starting a business: Cost - Average (% of income per capita) - Score,Starting a business: Procedures required - Average (number) - Score,Starting a business: Time - Average (days) - Score,Starting a business: Paid-in Minimum capital (% of income per capita) - Score
Afghanistan,AFG,South Asia,Low income,2006,83.2,62.39452,79.411765,90.954775,100.0
Spain,ESP,Europe & Central Asia,High income,2006,66.3,91.75641,47.05882,30.15075,96.07285
Niger,NER,Sub-Saharan Africa,Low income,2006,22.0,0.0,23.52941,64.32161,0.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2006,91.1,98.30587,76.47059,89.44724,100.0
Congo,COG,Sub-Saharan Africa,Lower middle income,2006,41.7,20.94815,38.235295,62.81407,44.97501
Sri Lanka,LKA,South Asia,Upper middle income,2006,70.5,74.97554,52.94118,54.27136,100.0
United Arab Emirates,ARE,Middle East & North Africa,High income,2006,66.7,92.11109,44.117644999999996,80.904525,49.70473
Barbados,BRB,Latin America & Caribbean,High income,2006,,,,,0.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2006,62.3,30.14735,58.82353,60.30151,100.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,2006,41.4,21.01371,47.05882,70.35176,26.97884
Kosovo,XKX,Europe & Central Asia,Upper middle income,2006,,,,,70.34072
Malta,MLT,Middle East & North Africa,High income,2006,,,,,99.79338
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2006,83.2,86.58188,64.70588,81.40704,100.0
Hungary,HUN,Europe & Central Asia,High income,2006,73.7,88.78578,64.70588,61.30653,80.09311
Colombia,COL,Latin America & Caribbean,Upper middle income,2006,70.6,87.6733,35.29412,59.29648,100.0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2006,83.8,86.06082,70.58824,78.39196,100.0
Ukraine,UKR,Europe & Central Asia,Lower middle income,2006,56.2,93.27978,11.76471,65.32663,54.24385
Belarus,BLR,Europe & Central Asia,Upper middle income,2006,49.7,83.56191,5.88235,20.1005,89.31085
New Zealand,NZL,East Asia & Pacific,High income,2006,95.6,99.91616,94.11765,88.44221,100.0
Iceland,ISL,Europe & Central Asia,High income,2006,91.6,98.61807,76.47059,95.47739,95.73477
China,CHN,East Asia & Pacific,Upper middle income,2006,,,,,29.00109
Korea,KOR,East Asia & Pacific,High income,2006,61.4,92.1603,47.05882,83.41709,22.79545
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2006,87.2,88.81857,76.47059,83.41709,100.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2006,82.4,82.15463,58.82353,88.44221,100.0
Netherlands,NLD,Europe & Central Asia,High income,2006,83.4,93.51613,64.70588,91.45729,83.84972
India,IND,South Asia,Lower middle income,2006,,,,,11.98286
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2006,59.8,93.68926,35.29412,10.05025,100.0
Bangladesh,BGD,South Asia,Lower middle income,2006,,,,,100.0
United Kingdom,GBR,Europe & Central Asia,High income,2006,89.8,99.63635,70.58824,88.94472,100.0
Honduras,HND,Latin America & Caribbean,Lower middle income,2006,56.9,67.97017,35.29412,31.15578,93.17791
Oman,OMN,Middle East & North Africa,High income,2006,48.4,97.51789,32.352940000000004,63.819095000000004,0.0
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2006,2.2,0.0,8.82353,0.0,0.0
Dem. Rep. Congo,COD,Sub-Saharan Africa,Low income,2006,30.1,0.0,20.588234999999997,0.0,100.0
Slovenia,SVN,Europe & Central Asia,High income,2006,67.4,93.98182,41.17647,38.69347,95.75558
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2006,43.2,32.53949,41.17647,55.27638,43.71209
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2006,60.5,32.24039,64.70588,45.22613,100.0
Norway,NOR,Europe & Central Asia,High income,2006,90.2,98.6508,76.47059,92.46231,93.254
Uruguay,URY,Latin America & Caribbean,High income,2006,59.1,78.04411,41.17647,55.27638,62.07688
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2006,55.8,93.83296,29.41176,0.0,100.0
Guyana,GUY,Latin America & Caribbean,Upper middle income,2006,67.2,51.75398,58.82353,58.29146,100.0
Czech Republic,CZE,Europe & Central Asia,High income,2006,68.9,95.26176,47.05882,43.21608,90.25355
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2006,81.8,94.82275,52.94118,79.39698,99.8573
Uganda,UGA,Sub-Saharan Africa,Low income,2006,55.2,50.4073,5.88235,64.32161,100.0
Maldives,MDV,South Asia,Upper middle income,2006,89.8,92.97627,76.47059,91.45729,98.35124
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2006,54.1,94.82422,17.64706,40.20101,63.69049
Haiti,HTI,Latin America & Caribbean,Low income,2006,29.9,0.0,29.41176,0.0,90.31387
United States,USA,North America,High income,2006,,,,,100.0
Bahrain,BHR,Middle East & North Africa,High income,2006,,,,,12.27213
Cyprus,CYP,Europe & Central Asia,High income,2006,,,,,100.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2006,74.0,95.69041,52.94118,47.23618,99.99915
Japan,JPN,East Asia & Pacific,High income,2006,,,,,81.16737
Croatia,HRV,Europe & Central Asia,High income,2006,75.1,93.64226,41.17647,71.35678,94.31329
South Sudan,SSD,Sub-Saharan Africa,Low income,2006,,,,,100.0
Kuwait,KWT,Middle East & North Africa,High income,2006,64.2,98.91199,26.470585,64.82412,66.55712
Mali,MLI,Sub-Saharan Africa,Low income,2006,28.3,4.66831,35.29412,73.36683,0.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2006,,,,,100.0
Somalia,SOM,Sub-Saharan Africa,Low income,2006,,,,,100.0
Belgium,BEL,Europe & Central Asia,High income,2006,81.4,94.45046,70.58824,66.33166,94.34023
Chile,CHL,Latin America & Caribbean,High income,2006,76.2,93.59521,52.94118,58.29146,100.0
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2006,65.3,55.23337,44.117644999999996,61.809045,100.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,2006,,,,,96.53457
"Taiwan, China",TWN,East Asia & Pacific,High income,2006,60.9,97.78386,58.82353,35.17588,51.76348
Tonga,TON,East Asia & Pacific,Upper middle income,2006,86.2,94.15896,82.35294,68.34171,100.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2006,49.6,23.41617,23.52941,51.25628,100.0
Morocco,MAR,Middle East & North Africa,Lower middle income,2006,82.2,93.31196,64.70588,88.44221,82.49204
Burundi,BDI,Sub-Saharan Africa,Low income,2006,62.8,4.88357,58.82353,87.43719,100.0
Tajikistan,TJK,Europe & Central Asia,Low income,2006,25.5,57.44481,23.52941,21.10553,0.0
Israel,ISR,Middle East & North Africa,High income,2006,89.1,97.36032,76.47059,82.41206,100.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2006,31.7,31.31845,35.29412,60.30151,0.0
Tanzania,TZA,Sub-Saharan Africa,Low income,2006,48.4,0.0,29.41176,64.32161,100.0
Montenegro,MNE,Europe & Central Asia,Upper middle income,2006,,,,,99.99127
Togo,TGO,Sub-Saharan Africa,Low income,2006,16.6,0.0,29.41176,37.18593,0.0
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2006,77.6,95.06753,52.94118,69.34673,92.97453
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2006,50.4,79.40049,29.41176,7.03518,85.64494
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2006,66.9,95.2008,29.41176,61.30653,81.76198
Jordan,JOR,Middle East & North Africa,Upper middle income,2006,46.3,57.2748,44.117644999999996,83.9196,0.0
Micronesia,FSM,East Asia & Pacific,Lower middle income,2006,68.2,36.18774,64.70588,84.42211,87.43719
Thailand,THA,East Asia & Pacific,Upper middle income,2006,75.9,91.36574,47.05882,65.32663,99.99909
Mongolia,MNG,East Asia & Pacific,Lower middle income,2006,75.6,95.19982,58.82353,83.41709,64.96219
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2006,89.3,94.10113,70.58824,92.46231,100.0
Brunei,BRN,East Asia & Pacific,High income,2006,,,,,99.99865
