Year,Region,Country Name,Income Group,Cost - Men (% of income per capita),Cost - Men (% of income per capita) - Score,Cost - Women (% of income per capita),Cost - Women (% of income per capita) - Score,Procedures required - Men (number),Procedures required - Men (number) - Score,Procedures required - Women (number),Procedures required - Women (number) - Score,Time - Men (days),Time - Men (days) - Score,Time - Women (days),Time - Women (days)- Score,Cost (Average) - Score,Procedures required (Average) - Score,Time (Average) - Score,Cost (Average),Procedures required (Average),Time (Average)
2006,East Asia & Pacific,Australia,High income,1.9,99.03318,1.9,99.03318,3.0,88.23529,3.0,88.23529,3.0,97.48744,3.0,97.48744,99.03318,88.23529,97.48744,1.9,3.0,3.0
2006,East Asia & Pacific,Brunei,High income,,,,,,,,,,,,,,,,,,
2006,East Asia & Pacific,China,Upper middle income,,,,,,,,,,,,,,,,,,
2006,East Asia & Pacific,Fiji,Upper middle income,28.4,85.78208,28.4,85.78208,8.0,58.82353,8.0,58.82353,44.0,56.28141,44.0,56.28141,85.78208,58.82353,56.28141,28.4,8.0,44.0
2006,East Asia & Pacific,Micronesia,Lower middle income,127.6,36.18774,127.6,36.18774,7.0,64.70588,7.0,64.70588,16.0,84.42211,16.0,84.42211,36.18774,64.70588,84.42211,127.6,7.0,16.0
2006,East Asia & Pacific,"Hong Kong SAR, China",High income,3.4,98.30587,3.4,98.30587,5.0,76.47059,5.0,76.47059,11.0,89.44724,11.0,89.44724,98.30587,76.47059,89.44724,3.4,5.0,11.0
2006,East Asia & Pacific,Indonesia,Lower middle income,,,,,,,,,,,,,,,,,,
2006,East Asia & Pacific,Japan,High income,,,,,,,,,,,,,,,,,,
2006,East Asia & Pacific,Cambodia,Lower middle income,276.1,0.0,276.1,0.0,10.0,47.05882,10.0,47.05882,87.0,13.06533,87.0,13.06533,0.0,47.05882,13.06533,276.1,10.0,87.0
2006,East Asia & Pacific,Kiribati,Lower middle income,40.3,79.86376,40.3,79.86376,7.0,64.70588,7.0,64.70588,31.0,69.34673,31.0,69.34673,79.86376,64.70588,69.34673,40.3,7.0,31.0
2006,East Asia & Pacific,Korea,High income,15.7,92.1603,15.7,92.1603,10.0,47.05882,10.0,47.05882,17.0,83.41709,17.0,83.41709,92.1603,47.05882,83.41709,15.7,10.0,17.0
2006,East Asia & Pacific,Lao PDR,Lower middle income,25.6,87.21225,25.6,87.21225,10.0,47.05882,10.0,47.05882,135.0,0.0,135.0,0.0,87.21225,47.05882,0.0,25.6,10.0,135.0
2006,East Asia & Pacific,Marshall Islands,Upper middle income,22.4,88.81857,22.4,88.81857,5.0,76.47059,5.0,76.47059,17.0,83.41709,17.0,83.41709,88.81857,76.47059,83.41709,22.4,5.0,17.0
2006,East Asia & Pacific,Myanmar,Lower middle income,,,,,,,,,,,,,,,,,,
2006,East Asia & Pacific,Mongolia,Lower middle income,9.6,95.19982,9.6,95.19982,8.0,58.82353,8.0,58.82353,17.0,83.41709,17.0,83.41709,95.19982,58.82353,83.41709,9.6,8.0,17.0
2006,East Asia & Pacific,Malaysia,Upper middle income,26.6,86.68418,26.6,86.68418,10.0,47.05882,11.0,41.17647,37.0,63.31658,38.0,62.31156,86.68418,44.117644999999996,62.81407,26.6,10.5,37.5
2006,East Asia & Pacific,New Zealand,High income,0.2,99.91616,0.2,99.91616,2.0,94.11765,2.0,94.11765,12.0,88.44221,12.0,88.44221,99.91616,94.11765,88.44221,0.2,2.0,12.0
