,Country Name,Country Code,Indicator Name,Urban Area Name,Urban Code,Indicator Code,2020
0,Afghanistan,AFG,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,92.46231
1,Afghanistan,AFG,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,76.47059
2,Afghanistan,AFG,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,82.35294
3,Afghanistan,AFG,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,91.45729
4,Afghanistan,AFG,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,96.5931
5,Afghanistan,AFG,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,96.5931
6,Albania,ALB,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,94.58587
7,Albania,ALB,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,94.58587
8,Albania,ALB,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,76.47059
9,Albania,ALB,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,76.47059
10,Albania,ALB,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,95.9799
11,Albania,ALB,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,95.9799
12,Algeria,DZA,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,82.41206
13,Algeria,DZA,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,82.41206
14,Algeria,DZA,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,35.29412
15,Algeria,DZA,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,35.29412
16,Algeria,DZA,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,94.34925
17,Algeria,DZA,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,94.34925
18,Angola,AGO,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,64.32161
19,Angola,AGO,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,64.32161
20,Angola,AGO,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,58.82353
21,Angola,AGO,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,58.82353
22,Angola,AGO,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,94.45725
23,Angola,AGO,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,94.45725
24,Antigua and Barbuda,ATG,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,95.99189
25,Antigua and Barbuda,ATG,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,95.99189
26,Antigua and Barbuda,ATG,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,81.40704
27,Antigua and Barbuda,ATG,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,52.94118
28,Antigua and Barbuda,ATG,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,81.40704
29,Antigua and Barbuda,ATG,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,52.94118
30,Argentina,ARG,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,97.49495
31,Argentina,ARG,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,97.49495
32,Argentina,ARG,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,35.29412
33,Argentina,ARG,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,35.29412
34,Argentina,ARG,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,88.94472
35,Argentina,ARG,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,88.94472
36,Armenia,ARM,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,96.48241
37,Armenia,ARM,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.62426
38,Armenia,ARM,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.62426
39,Armenia,ARM,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,88.23529
40,Armenia,ARM,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,88.23529
41,Armenia,ARM,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,96.48241
42,Australia,AUS,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,98.49246
43,Australia,AUS,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,88.23529
44,Australia,AUS,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,98.49246
45,Australia,AUS,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,88.23529
46,Australia,AUS,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.65926
47,Australia,AUS,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.65926
48,Austria,AUT,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,58.82353
49,Austria,AUT,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,58.82353
50,Austria,AUT,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,79.39698
51,Austria,AUT,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,79.39698
52,Austria,AUT,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,97.65738
53,Austria,AUT,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,97.65738
54,Azerbaijan,AZE,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,96.98492
55,Azerbaijan,AZE,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,96.98492
56,Azerbaijan,AZE,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,88.23529
57,Azerbaijan,AZE,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,88.23529
58,Azerbaijan,AZE,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.40842
59,Azerbaijan,AZE,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.40842
60,Bahrain,BHR,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,92.46231
61,Bahrain,BHR,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,64.70588
62,Bahrain,BHR,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,70.58824
63,Bahrain,BHR,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.49087
64,Bahrain,BHR,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.49087
65,Bahrain,BHR,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,91.45729
66,Bangladesh,BGD,Starting a business: Time - Men (days) - Score,Dhaka,DHA,IC.REG.DURS.MA.DY.DFRN,80.90452
67,Bangladesh,BGD,Starting a business: Procedures required - Women (number) - Score,Dhaka,DHA,IC.REG.PROC.FE.NO.DFRN,52.94118
68,Bangladesh,BGD,Starting a business: Procedures required - Men (number) - Score,Dhaka,DHA,IC.REG.PROC.MA.NO.DFRN,52.94118
69,Bangladesh,BGD,Starting a business: Cost - Women (% of income per capita) - Score,Dhaka,DHA,IC.REG.COST.PC.FE.ZS.DRFN,95.63036
70,Bangladesh,BGD,Starting a business: Cost - Men (% of income per capita) - Score,Dhaka,DHA,IC.REG.COST.PC.MA.ZS.DFRN,95.63036
71,Bangladesh,BGD,Starting a business: Time - Women (days)- Score,Chittagong,CHI,IC.REG.DURS.FE.DY.DRFN,80.90452
72,Bangladesh,BGD,Starting a business: Cost - Men (% of income per capita) - Score,Chittagong,CHI,IC.REG.COST.PC.MA.ZS.DFRN,95.63036
73,Bangladesh,BGD,Starting a business: Cost - Women (% of income per capita) - Score,Chittagong,CHI,IC.REG.COST.PC.FE.ZS.DRFN,95.63036
74,Bangladesh,BGD,Starting a business: Procedures required - Men (number) - Score,Chittagong,CHI,IC.REG.PROC.MA.NO.DFRN,52.94118
75,Bangladesh,BGD,Starting a business: Procedures required - Women (number) - Score,Chittagong,CHI,IC.REG.PROC.FE.NO.DFRN,52.94118
76,Bangladesh,BGD,Starting a business: Time - Women (days)- Score,Dhaka,DHA,IC.REG.DURS.FE.DY.DRFN,80.90452
77,Bangladesh,BGD,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,80.90452
78,Bangladesh,BGD,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,80.90452
79,Bangladesh,BGD,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,52.94118
80,Bangladesh,BGD,Starting a business: Time - Men (days) - Score,Chittagong,CHI,IC.REG.DURS.MA.DY.DFRN,80.90452
81,Bangladesh,BGD,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,95.63036
82,Bangladesh,BGD,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,95.63036
83,Bangladesh,BGD,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,52.94118
84,Barbados,BRB,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,96.33994
85,Barbados,BRB,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,96.33994
86,Barbados,BRB,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,64.70588
87,Barbados,BRB,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,64.70588
88,Barbados,BRB,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,84.42211
89,Barbados,BRB,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,84.42211
90,Belarus,BLR,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,91.9598
91,Belarus,BLR,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,91.9598
92,Belarus,BLR,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,82.35294
93,Belarus,BLR,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,82.35294
94,Belarus,BLR,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,99.7748
95,Belarus,BLR,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,99.7748
96,Belgium,BEL,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,95.47739
97,Belgium,BEL,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,97.33269
98,Belgium,BEL,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,97.33269
99,Belgium,BEL,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,76.47059
100,Belgium,BEL,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,76.47059
101,Belgium,BEL,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,95.47739
102,Belize,BLZ,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,52.26131
103,Belize,BLZ,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,52.26131
104,Belize,BLZ,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,52.94118
105,Belize,BLZ,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,52.94118
106,Belize,BLZ,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,82.85677
107,Belize,BLZ,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,82.85677
108,Benin,BEN,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,98.25394
109,Benin,BEN,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,91.45729
110,Benin,BEN,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,76.47059
111,Benin,BEN,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,70.58824
112,Benin,BEN,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,92.46231
113,Benin,BEN,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,98.28421
114,Bhutan,BTN,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,88.44221
115,Bhutan,BTN,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,58.82353
116,Bhutan,BTN,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,58.82353
117,Bhutan,BTN,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,98.15421
118,Bhutan,BTN,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,98.15421
119,Bhutan,BTN,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,88.44221
120,Bolivia,BOL,Starting a business: Cost - Women (% of income per capita) - Score,,,IC.REG.COST.PC.FE.ZS.DRFN,81.35838
121,Bolivia,BOL,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,81.35838
122,Bolivia,BOL,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,35.29412
123,Bolivia,BOL,Starting a business: Procedures required - Women (number) - Score,,,IC.REG.PROC.FE.NO.DFRN,35.29412
124,Bolivia,BOL,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,60.80402
125,Bolivia,BOL,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,60.80402
126,Bosnia and Herzegovina,BIH,Starting a business: Time - Men (days) - Score,,,IC.REG.DURS.MA.DY.DFRN,20.1005
127,Bosnia and Herzegovina,BIH,Starting a business: Cost - Men (% of income per capita) - Score,,,IC.REG.COST.PC.MA.ZS.DFRN,93.17431
128,Bosnia and Herzegovina,BIH,Starting a business: Time - Women (days)- Score,,,IC.REG.DURS.FE.DY.DRFN,20.1005
129,Bosnia and Herzegovina,BIH,Starting a business: Procedures required - Men (number) - Score,,,IC.REG.PROC.MA.NO.DFRN,29.41176
